Indian National Congress - INC,99
Samajwadi Party - SP,37
All India Trinamool Congress - AITC,29
Dravida Munnetra Kazhagam - DMK,22
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9
Nationalist Congress Party Sharadchandra Pawar - NCPSP,8
Rashtriya Janata Dal - RJD,4
Communist Party of India  (Marxist) - CPI(M),4
Aam Aadmi Party - AAAP,3
Indian Union Muslim League - IUML,3
Jharkhand Mukti Morcha - JMM,3
Jammu & Kashmir National Conference - JKN,2
Communist Party of India - CPI,2
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2
Viduthalai Chiruthaigal Katchi - VCK,2
Rashtriya Loktantrik Party - RLTP,1
Revolutionary Socialist Party - RSP,1
Bharat Adivasi Party - BHRTADVSIP,1
Kerala Congress - KEC,1
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1
