AHMEDNAGAR,NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL
AKOLA,ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL
AMRAVATI,BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA
AURANGABAD,BHUMARE SANDIPANRAO ASARAM,IMTIAZ JALEEL SYED
BARAMATI,SUPRIYA SULE,SUNETRA AJITDADA PAWAR
BEED,BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE
BHANDARAGONDIYA,DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE
BHIWANDI,BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL
BULDHANA,JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR
CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,MUNGANTIWAR SUDHIR SACCHIDANAND
DHULE,BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO
DINDORI,BHASKAR MURLIDHAR BHAGARE,DR. BHARATI PRAVIN PAWAR
GADCHIROLI-CHIMUR,DR. KIRSAN  NAMDEO,ASHOK  MAHADEORAO NETE
HATKANANGALE,DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR
HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO,BABURAO KADAM KOHALIKAR
JALGAON,SMITA UDAY WAGH,KARAN BALASAHEB PATIL - PAWAR
JALNA,KALYAN VAIJINATHRAO KALE,DANVE RAOSAHEB DADARAO
KALYAN,DR SHRIKANT EKNATH SHINDE,VAISHALI DAREKAR - RANE
KOLHAPUR,CHHATRAPATI SHAHU SHAHAJI,SANJAY SADASHIVRAO MANDLIK
LATUR,DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE
MADHA,MOHITE-PATIL DHAIRYASHEEL RAJSINH,RANJEETSINGH HINDURAO NAIK NIMBALKAR
MAVAL,SHRIRANG APPA CHANDU BARNE,SANJOG BHIKU WAGHERE PATIL
MUMBAINORTH,PIYUSH GOYAL,BHUSHAN PATIL
MUMBAINORTHCENTRAL,GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM
MUMBAINORTHEAST,SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA
MUMBAINORTHWEST,RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR
MUMBAISOUTH,ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV
MUMBAISOUTHCENTRAL,ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE
NAGPUR,NITIN JAIRAM GADKARI,VIKAS THAKRE
NANDED,CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO
NANDURBAR,ADV GOWAAL KAGADA PADAVI,DR HEENA VIJAYKUMAR GAVIT
NASHIK,RAJABHAU (PARAG) PRAKASH WAJE,GODSE HEMANT TUKARAM
OSMANABAD,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,ARCHANA RANAJAGJITSINH PATIL
PALGHAR,DR. HEMANT VISHNU SAVARA,BHARTI BHARAT KAMDI
PARBHANI,JADHAV SANJAY ( BANDU ) HARIBHAU,JANKAR MAHADEV JAGANNATH
PUNE,MURLIDHAR MOHOL,DHANGEKAR RAVINDRA HEMRAJ
RAIGAD,TATKARE SUNIL DATTATREY,ANANT GEETE
RAMTEK,Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE
RATNAGIRI-SINDHUDURG,NARAYAN TATU RANE,VINAYAK BHAURAO RAUT
RAVER,KHADSE RAKSHA NIKHIL,SHRIRAM DAYARAM PATIL
SANGLI,VISHAL (DADA) PRAKASHBAPU PATIL,SANJAY (KAKA) PATIL
SATARA,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHASHIKANT JAYVANTRAO SHINDE
SHIRDI,BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN
SHIRUR,DR. AMOL RAMSING KOLHE,ADHALRAO SHIVAJI DATTATREY
SOLAPUR,PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE
THANE,NARESH GANPAT MHASKE,RAJAN BABURAO VICHARE
WARDHA,AMAR SHARADRAO KALE,RAMDAS CHANDRABHAN TADAS
YAVATMAL-WASHIM,SANJAY UTTAMRAO DESHMUKH,RAJSHRITAI HEMANT PATIL (MAHALLE)
